date,variant
2020-06-18,original
2020-06-19,delta
2020-06-23,original
2020-06-26,original
2020-06-29,original
2020-06-30,delta
2020-07-08,delta
2020-07-09,delta
2020-07-10,original
2020-07-16,delta
2020-07-16,delta
2020-07-19,delta
2020-08-05,original
2020-08-17,original
2020-08-18,delta
2020-09-03,delta
2020-09-05,original
2020-09-09,original
2020-09-11,original
2020-09-15,original
2020-10-07,delta
2020-10-13,delta
2020-10-18,original
2020-10-22,delta
2020-10-23,delta
2020-11-07,original
2020-11-12,delta
2020-11-14,delta
2020-11-14,delta
2020-11-19,delta
2020-11-26,original
2020-11-28,original
2020-12-06,original
2020-12-12,delta
2020-12-15,original
2020-12-17,original
2020-12-23,original
2020-12-23,delta
2020-12-28,delta
2020-12-29,delta
2020-12-31,original
2021-01-01,original
2021-01-01,original
2021-01-03,delta
2021-01-07,original
2021-01-09,original
2021-01-09,original
2021-01-10,original
2021-01-11,original
2021-01-13,delta
2021-01-14,original
2021-01-15,original
2021-01-16,original
2021-01-16,original
2021-01-16,delta
2021-01-17,original
2021-01-18,original
2021-01-18,original
2021-01-18,original
2021-01-18,delta
2021-01-19,original
2021-01-19,original
2021-01-19,original
2021-01-21,original
2021-01-21,original
2021-01-21,delta
2021-01-22,original
2021-01-23,original
2021-01-26,original
2021-01-26,original
2021-01-27,original
2021-01-28,original
2021-01-28,original
2021-01-28,original
2021-01-29,original
2021-01-29,original
2021-01-29,original
2021-01-29,original
2021-01-29,original
2021-01-29,original
2021-01-29,original
2021-01-29,original
2021-01-30,original
2021-01-30,original
2021-01-30,original
2021-01-30,original
2021-01-31,original
2021-01-31,original
2021-01-31,original
2021-02-01,original
2021-02-01,original
2021-02-02,original
2021-02-02,original
2021-02-02,original
2021-02-03,original
2021-02-03,original
2021-02-03,original
2021-02-04,original
2021-02-05,original
2021-02-05,original
2021-02-06,original
2021-02-06,original
2021-02-06,original
2021-02-08,original
2021-02-08,delta
2021-02-08,original
2021-02-08,original
2021-02-09,original
2021-02-09,original
2021-02-09,original
2021-02-09,original
2021-02-09,original
2021-02-09,original
2021-02-09,original
2021-02-10,original
2021-02-10,original
2021-02-10,original
2021-02-10,original
2021-02-10,original
2021-02-10,original
2021-02-10,original
2021-02-10,original
