hid,occupant,htype,hsize,geoid,Floor,income,FPL,x,y,ZIP
47494,16638,family,2,12057011708,1,124448,714,-82.55826002685151,27.968630961317373,33607
47494,16639,family,2,12057011708,1,124448,714,-82.55826002685151,27.968630961317373,33607
47495,16640,family,2,12057011708,1,49271,283,-82.55848908080189,27.96882622279977,33607
47495,16642,family,2,12057011708,1,49271,283,-82.55848908080189,27.96882622279977,33607
47497,16643,family,2,12057011708,1,58869,338,-82.55831053487316,27.96947445773705,33607
47497,16644,family,2,12057011708,1,58869,338,-82.55831053487316,27.96947445773705,33607
47510,16645,family,2,12057011708,1,53851,309,-82.558750755393,27.97397795334865,33607
47510,16646,family,2,12057011708,1,53851,309,-82.558750755393,27.97397795334865,33607
47512,16647,family,2,12057011708,1,87793,504,-82.55842401940629,27.973852480354036,33607
47512,16648,family,2,12057011708,1,87793,504,-82.55842401940629,27.973852480354036,33607
47514,16649,family,2,12057011708,1,221754,1273,-82.55842455539985,27.97360740819791,33607
47514,16650,family,2,12057011708,1,221754,1273,-82.55842455539985,27.97360740819791,33607
47516,16651,family,2,12057011708,1,51921,298,-82.55842785798993,27.97338534989528,33607
47516,16652,family,2,12057011708,1,51921,298,-82.55842785798993,27.97338534989528,33607
47517,16653,family,2,12057011708,1,141128,810,-82.55843169719638,27.973163586835103,33607
47517,16655,family,2,12057011708,1,141128,810,-82.55843169719638,27.973163586835103,33607
47518,16656,family,2,12057011708,1,131840,757,-82.55843546438898,27.972939324579,33607
47518,16657,family,2,12057011708,1,131840,757,-82.55843546438898,27.972939324579,33607
47519,16658,family,2,12057011708,1,110665,635,-82.55843811815971,27.972716721469865,33607
47519,16661,family,2,12057011708,1,110665,635,-82.55843811815971,27.972716721469865,33607
47520,16662,family,2,12057011708,1,111744,641,-82.55844389481051,27.972498670058872,33607
47520,16663,family,2,12057011708,1,111744,641,-82.55844389481051,27.972498670058872,33607
47521,16664,family,2,12057011708,1,126541,726,-82.55844632819529,27.972278212209744,33607
47521,16666,family,2,12057011708,1,126541,726,-82.55844632819529,27.972278212209744,33607
47522,16667,family,2,12057011708,1,241716,1388,-82.55845124632062,27.97205764613419,33607
47522,16668,family,2,12057011708,1,241716,1388,-82.55845124632062,27.97205764613419,33607
47523,16669,family,2,12057011708,1,49593,285,-82.5584555960635,27.971839840701936,33607
47523,16670,family,2,12057011708,1,49593,285,-82.5584555960635,27.971839840701936,33607
47524,16671,family,2,12057011708,1,216727,1244,-82.5584587622423,27.971621577252265,33607
47524,16672,family,2,12057011708,1,216727,1244,-82.5584587622423,27.971621577252265,33607
47525,16673,family,2,12057011708,1,70734,406,-82.55846202051703,27.97140436331008,33607
47525,16675,family,2,12057011708,1,70734,406,-82.55846202051703,27.97140436331008,33607
47526,16676,family,2,12057011708,1,34748,199,-82.5584650264207,27.97119036823548,33607
47526,16677,family,2,12057011708,1,34748,199,-82.5584650264207,27.97119036823548,33607
47541,16679,family,2,12057011708,1,74181,426,-82.55847226255645,27.970972052105157,33607
47541,16681,family,2,12057011708,1,74181,426,-82.55847226255645,27.970972052105157,33607
47542,16682,family,2,12057011708,1,77986,448,-82.55850235995908,27.9707318318867,33607
47542,16683,family,2,12057011708,1,77986,448,-82.55850235995908,27.9707318318867,33607
47543,16684,family,2,12057011708,1,159397,915,-82.55855179295216,27.970196521326702,33607
47543,16685,family,2,12057011708,1,159397,915,-82.55855179295216,27.970196521326702,33607
47543,16687,family,2,12057011708,2,69753,400,-82.55855179295216,27.970196521326702,33607
47543,16688,family,2,12057011708,2,69753,400,-82.55855179295216,27.970196521326702,33607
47544,16690,family,2,12057011708,1,165585,951,-82.5582648192684,27.970355985855186,33607
47544,16691,family,2,12057011708,1,165585,951,-82.5582648192684,27.970355985855186,33607
47604,16692,family,2,12057011708,1,46837,269,-82.55906278934212,27.97401620183244,33607
47604,16693,family,2,12057011708,1,46837,269,-82.55906278934212,27.97401620183244,33607
47605,16694,family,2,12057011708,1,217951,1251,-82.5593435032992,27.97380585760487,33607
47605,16695,family,2,12057011708,1,217951,1251,-82.5593435032992,27.97380585760487,33607
47605,16696,family,2,12057011708,2,63233,363,-82.5593435032992,27.97380585760487,33607
47605,16697,family,2,12057011708,2,63233,363,-82.5593435032992,27.97380585760487,33607
47606,16698,family,2,12057011708,1,154017,884,-82.55932137437443,27.973496025789814,33607
47606,16699,family,2,12057011708,1,154017,884,-82.55932137437443,27.973496025789814,33607
47606,16700,family,2,12057011708,2,83170,477,-82.55932137437443,27.973496025789814,33607
47606,16701,family,2,12057011708,2,83170,477,-82.55932137437443,27.973496025789814,33607
47607,16702,family,2,12057011708,1,51631,296,-82.55932465338238,27.973245451194185,33607
47607,16705,family,2,12057011708,1,51631,296,-82.55932465338238,27.973245451194185,33607
47608,16706,family,2,12057011708,1,15537,89,-82.55932817092959,27.97299552910854,33607
47608,16707,family,2,12057011708,1,15537,89,-82.55932817092959,27.97299552910854,33607
47609,16709,family,2,12057011708,1,74336,427,-82.55929986640336,27.97267336494867,33607
47609,16710,family,2,12057011708,1,74336,427,-82.55929986640336,27.97267336494867,33607
47609,16712,family,2,12057011708,2,92124,529,-82.55929986640336,27.97267336494867,33607
47609,16713,family,2,12057011708,2,92124,529,-82.55929986640336,27.97267336494867,33607
47610,16714,family,2,12057011708,1,91454,525,-82.55948564619523,27.972393760488227,33607
47610,16715,family,2,12057011708,1,91454,525,-82.55948564619523,27.972393760488227,33607
47610,16716,family,2,12057011708,2,96935,556,-82.55948564619523,27.972393760488227,33607
47610,16717,family,2,12057011708,2,96935,556,-82.55948564619523,27.972393760488227,33607
47611,16719,family,2,12057011708,1,94029,540,-82.55986763845519,27.972452961775968,33607
47611,16720,family,2,12057011708,1,94029,540,-82.55986763845519,27.972452961775968,33607
47611,16721,family,2,12057011708,2,89342,513,-82.55986763845519,27.972452961775968,33607
47611,16722,family,2,12057011708,2,89342,513,-82.55986763845519,27.972452961775968,33607
47612,16723,family,2,12057011708,1,206841,1187,-82.56014661663659,27.972621016668896,33607
47612,16724,family,2,12057011708,1,206841,1187,-82.56014661663659,27.972621016668896,33607
47613,16725,family,2,12057011708,1,117023,672,-82.56041500246774,27.9727392679746,33607
47613,16727,family,2,12057011708,1,117023,672,-82.56041500246774,27.9727392679746,33607
47613,16728,family,2,12057011708,2,116947,671,-82.56041500246774,27.9727392679746,33607
47613,16729,family,2,12057011708,2,116947,671,-82.56041500246774,27.9727392679746,33607
47614,16730,family,2,12057011708,1,59913,344,-82.56068561747664,27.972865984747955,33607
47614,16731,family,2,12057011708,1,59913,344,-82.56068561747664,27.972865984747955,33607
47614,16732,family,2,12057011708,2,38183,219,-82.56068561747664,27.972865984747955,33607
47614,16734,family,2,12057011708,2,38183,219,-82.56068561747664,27.972865984747955,33607
47615,16735,family,2,12057011708,1,36065,207,-82.56095832013568,27.972993615135184,33607
47615,16736,family,2,12057011708,1,36065,207,-82.56095832013568,27.972993615135184,33607
47616,16737,family,2,12057011708,1,48535,279,-82.56123102806818,27.973114888915347,33607
47616,16738,family,2,12057011708,1,48535,279,-82.56123102806818,27.973114888915347,33607
47641,16739,family,2,12057011708,1,93839,539,-82.56154152820281,27.973195770045237,33607
47641,16740,family,2,12057011708,1,93839,539,-82.56154152820281,27.973195770045237,33607
47641,16741,family,2,12057011708,2,64746,372,-82.56154152820281,27.973195770045237,33607
47641,16742,family,2,12057011708,2,64746,372,-82.56154152820281,27.973195770045237,33607
47642,16743,family,2,12057011708,1,228858,1314,-82.5618837707466,27.973210317568704,33607
47642,16744,family,2,12057011708,1,228858,1314,-82.5618837707466,27.973210317568704,33607
47643,16745,family,2,12057011708,1,74988,430,-82.56219778590915,27.973208729664883,33607
47643,16746,family,2,12057011708,1,74988,430,-82.56219778590915,27.973208729664883,33607
47643,16747,family,2,12057011708,2,36075,207,-82.56219778590915,27.973208729664883,33607
47643,16748,family,2,12057011708,2,36075,207,-82.56219778590915,27.973208729664883,33607
47644,16750,family,2,12057011708,1,46420,266,-82.56251412084053,27.973206688540948,33607
47644,16752,family,2,12057011708,1,46420,266,-82.56251412084053,27.973206688540948,33607
47645,16753,family,2,12057011708,1,8836,51,-82.56282869031202,27.973192139062828,33607
47645,16754,family,2,12057011708,1,8836,51,-82.56282869031202,27.973192139062828,33607
47645,16755,family,2,12057011708,2,45180,259,-82.56282869031202,27.973192139062828,33607
47645,16757,family,2,12057011708,2,45180,259,-82.56282869031202,27.973192139062828,33607
