date,cases,deaths,admissions
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,2,0,0
2020-03-19,3,0,0
2020-03-20,6,0,0
2020-03-21,6,0,0
2020-03-22,8,0,0
2020-03-23,10,0,0
2020-03-24,12,0,0
2020-03-25,16,0,0
2020-03-26,19,0,0
2020-03-27,19,0,0
2020-03-28,23,0,0
2020-03-29,24,0,0
2020-03-30,28,0,0
2020-03-31,31,0,0
2020-04-01,34,0,0
2020-04-02,36,0,0
2020-04-03,41,0,0
2020-04-04,42,0,0
2020-04-05,44,0,0
2020-04-06,43,0,0
2020-04-07,43,0,0
2020-04-08,38,0,0
2020-04-09,36,0,0
2020-04-10,30,0,0
2020-04-11,29,1,0
2020-04-12,32,2,0
2020-04-13,34,2,0
2020-04-14,30,2,0
2020-04-15,34,2,0
2020-04-16,32,0,0
2020-04-17,35,0,0
2020-04-18,35,0,0
2020-04-19,29,0,0
2020-04-20,23,0,0
2020-04-21,23,0,0
2020-04-22,17,0,0
2020-04-23,19,0,0
2020-04-24,14,0,0
2020-04-25,14,0,0
2020-04-26,13,0,0
2020-04-27,13,0,0
2020-04-28,14,0,0
2020-04-29,17,0,0
2020-04-30,17,0,0
2020-05-01,20,0,0
2020-05-02,28,0,0
2020-05-03,33,0,0
2020-05-04,34,0,0
2020-05-05,35,1,0
2020-05-06,32,1,0
2020-05-07,34,2,0
2020-05-08,30,2,0
2020-05-09,23,2,0
2020-05-10,22,1,0
2020-05-11,21,0,0
2020-05-12,21,0,0
2020-05-13,23,2,0
2020-05-14,24,1,0
2020-05-15,28,1,0
2020-05-16,26,2,0
2020-05-17,26,2,0
2020-05-18,29,2,0
2020-05-19,28,3,0
2020-05-20,30,3,0
2020-05-21,34,3,0
2020-05-22,32,3,0
2020-05-23,34,3,0
2020-05-24,38,3,0
2020-05-25,41,2,0
2020-05-26,43,2,0
2020-05-27,42,0,0
2020-05-28,36,2,0
2020-05-29,40,0,0
2020-05-30,44,0,0
2020-05-31,45,0,0
