date,original,delta
2020-03-01,0,0
2020-03-02,1,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,1,0
2020-03-14,3,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,5,0
2020-03-18,2,0
2020-03-19,5,0
2020-03-20,14,0
2020-03-21,15,0
2020-03-22,14,0
2020-03-23,17,0
2020-03-24,17,0
2020-03-25,33,0
2020-03-26,21,0
2020-03-27,26,0
2020-03-28,27,0
2020-03-29,19,0
2020-03-30,51,0
2020-03-31,30,0
2020-04-01,66,0
2020-04-02,37,0
2020-04-03,66,0
2020-04-04,30,0
2020-04-05,31,0
2020-04-06,39,0
2020-04-07,31,0
2020-04-08,29,0
2020-04-09,22,0
2020-04-10,16,0
2020-04-11,57,0
2020-04-12,31,0
2020-04-13,23,0
2020-04-14,8,0
2020-04-15,48,0
2020-04-16,40,0
2020-04-17,16,0
2020-04-18,19,0
2020-04-19,15,0
2020-04-20,13,0
2020-04-21,5,0
2020-04-22,5,0
2020-04-23,25,0
2020-04-24,16,0
2020-04-25,16,0
2020-04-26,12,0
2020-04-27,13,0
2020-04-28,27,0
2020-04-29,21,0
2020-04-30,31,0
2020-05-01,74,0
2020-05-02,37,0
2020-05-03,29,0
2020-05-04,19,0
2020-05-05,13,0
2020-05-06,22,0
2020-05-07,20,0
2020-05-08,21,0
2020-05-09,28,0
2020-05-10,20,0
2020-05-11,27,0
2020-05-12,18,0
2020-05-13,34,0
2020-05-14,31,0
2020-05-15,31,0
2020-05-16,31,0
2020-05-17,31,0
2020-05-18,17,0
2020-05-19,22,0
2020-05-20,68,0
2020-05-21,24,0
2020-05-22,33,0
2020-05-23,21,0
2020-05-24,77,0
2020-05-25,51,0
2020-05-26,21,0
2020-05-27,28,0
2020-05-28,56,0
2020-05-29,35,0
2020-05-30,81,0
2020-05-31,50,0
2020-06-01,33,0
2020-06-02,74,0
2020-06-03,113,0
2020-06-04,55,0
2020-06-05,102,0
2020-06-06,102,0
2020-06-07,93,0
2020-06-08,82,0
2020-06-09,93,0
2020-06-10,142,0
2020-06-11,117,0
2020-06-12,144,0
2020-06-13,170,0
2020-06-14,224,0
2020-06-15,182,0
2020-06-16,242,0
2020-06-17,221,0
2020-06-18,297,1
2020-06-19,397,1
2020-06-20,398,0
2020-06-21,352,0
2020-06-22,296,0
2020-06-23,733,1
2020-06-24,457,0
2020-06-25,673,0
2020-06-26,1114,1
2020-06-27,788,0
2020-06-28,412,0
2020-06-29,432,1
2020-06-30,703,1
2020-07-01,888,0
2020-07-02,671,0
2020-07-03,652,0
2020-07-04,626,0
2020-07-05,341,0
2020-07-06,666,0
2020-07-07,742,0
2020-07-08,565,1
2020-07-09,979,1
2020-07-10,690,1
2020-07-11,789,0
2020-07-12,664,0
2020-07-13,686,0
2020-07-14,500,0
2020-07-15,536,0
2020-07-16,932,2
