date,school,restaurant,outdoor,mall,workplace,bank,hospital,grocery,worship
2020-03-01,0,0,0,0,0,1,1,1,0
2020-04-01,0,0,0,0,0,1,1,1,0
2020-05-01,0,0.25,0,0.25,0.5,1,1,1,0.5
2020-06-01,0,0.5,1,0.5,0.5,1,1,1,0.5
2020-07-01,0,0.5,1,1,1,1,1,1,0.5
2020-08-01,0,0.5,1,1,1,1,1,1,1
2020-09-01,0.5,0.5,1,1,1,1,1,1,1
2020-10-01,0.5,0.75,1,1,1,1,1,1,1
2020-11-01,0.5,0.75,1,1,1,1,1,1,1
2020-12-01,0.5,0.75,1,1,1,1,1,1,1
2021-01-01,0.5,0.75,1,1,1,1,1,1,1
2021-02-01,0.5,0.75,1,1,1,1,1,1,1
2021-03-01,0.5,0.75,1,1,1,1,1,1,1
2021-04-01,0.5,0.75,1,1,1,1,1,1,1
2021-05-01,0.5,1,1,1,1,1,1,1,1
2021-06-01,1,1,1,1,1,1,1,1,1
