age,start,end,duration
15,house,restaurant,150
15,restaurant,school,270
15,school,restaurant,30
15,restaurant,school,135
15,school,outdoor,5
15,outdoor,outdoor,2
15,outdoor,outdoor,225
15,outdoor,restaurant,50
15,restaurant,restaurant,30
15,restaurant,restaurant,30
15,restaurant,outdoor,30
15,outdoor,outdoor,20
15,outdoor,house,20
16,house,restaurant,60
16,restaurant,school,135
16,school,workplace,150
16,workplace,outdoor,320
16,outdoor,outdoor,120
16,outdoor,restaurant,45
16,restaurant,outdoor,123
16,outdoor,house,123
17,house,restaurant,60
17,restaurant,outdoor,45
17,outdoor,school,10
17,school,outdoor,60
17,outdoor,outdoor,15
17,outdoor,restaurant,10
17,restaurant,outdoor,20
17,outdoor,outdoor,20
17,outdoor,grocery,20
17,grocery,school,220
17,school,outdoor,297
17,outdoor,restaurant,30
17,restaurant,restaurant,120
17,restaurant,outdoor,248
17,outdoor,house,248
18,house,restaurant,360
18,restaurant,outdoor,180
18,outdoor,school,90
18,school,school,120
18,school,restaurant,25
18,restaurant,workplace,118
18,workplace,outdoor,4
18,outdoor,outdoor,5
18,outdoor,outdoor,30
18,outdoor,workplace,440
18,workplace,house,440
19,house,outdoor,485
19,outdoor,grocery,105
19,grocery,outdoor,30
19,outdoor,outdoor,185
19,outdoor,restaurant,60
19,restaurant,outdoor,45
19,outdoor,outdoor,5
19,outdoor,outdoor,45
19,outdoor,outdoor,10
19,outdoor,outdoor,45
19,outdoor,house,45
20,house,workplace,120
20,workplace,outdoor,15
20,outdoor,workplace,3
20,workplace,workplace,30
20,workplace,restaurant,42
20,restaurant,workplace,115
20,workplace,outdoor,30
20,outdoor,workplace,25
20,workplace,outdoor,60
20,outdoor,outdoor,20
20,outdoor,restaurant,30
20,restaurant,restaurant,60
20,restaurant,outdoor,15
20,outdoor,workplace,45
20,workplace,outdoor,120
20,outdoor,workplace,75
20,workplace,outdoor,55
20,outdoor,outdoor,5
20,outdoor,outdoor,45
20,outdoor,outdoor,30
20,outdoor,house,30
21,house,workplace,220
21,workplace,workplace,135
21,workplace,restaurant,30
21,restaurant,school,2
21,school,workplace,120
21,workplace,worship,2
21,worship,workplace,105
21,workplace,grocery,60
21,grocery,restaurant,75
21,restaurant,restaurant,90
21,restaurant,outdoor,45
21,outdoor,outdoor,15
21,outdoor,workplace,252
21,workplace,house,252
22,house,outdoor,60
22,outdoor,workplace,305
22,workplace,worship,85
22,worship,restaurant,385
22,restaurant,outdoor,15
22,outdoor,restaurant,120
22,restaurant,outdoor,10
22,outdoor,outdoor,10
22,outdoor,school,120
22,school,house,120
23,house,workplace,10
23,workplace,workplace,105
23,workplace,workplace,165
23,workplace,grocery,5
23,grocery,workplace,105
23,workplace,restaurant,60
23,restaurant,outdoor,5
23,outdoor,workplace,275
23,workplace,restaurant,30
23,restaurant,restaurant,60
23,restaurant,outdoor,10
23,outdoor,outdoor,3
23,outdoor,outdoor,165
23,outdoor,outdoor,15
23,outdoor,house,15
24,house,workplace,439
24,workplace,restaurant,45
24,restaurant,outdoor,10
24,outdoor,school,40
24,school,outdoor,45
24,outdoor,outdoor,4
24,outdoor,outdoor,5
24,outdoor,outdoor,15
24,outdoor,grocery,7
24,grocery,outdoor,5
24,outdoor,restaurant,30
24,restaurant,restaurant,75
24,restaurant,outdoor,28
24,outdoor,outdoor,75
24,outdoor,workplace,150
24,workplace,house,150
25,house,workplace,390
25,workplace,grocery,20
25,grocery,restaurant,30
25,restaurant,outdoor,120
25,outdoor,workplace,170
25,workplace,restaurant,190
25,restaurant,outdoor,5
25,outdoor,restaurant,8
25,restaurant,outdoor,5
25,outdoor,outdoor,15
25,outdoor,outdoor,70
25,outdoor,restaurant,25
25,restaurant,house,25
26,house,workplace,350
26,workplace,restaurant,90
26,restaurant,outdoor,345
26,outdoor,restaurant,15
26,restaurant,outdoor,5
26,outdoor,restaurant,110
26,restaurant,restaurant,120
26,restaurant,workplace,160
26,workplace,house,160
27,house,outdoor,45
27,outdoor,workplace,10
27,workplace,workplace,383
27,workplace,outdoor,10
27,outdoor,workplace,335
27,workplace,outdoor,3
27,outdoor,restaurant,60
27,restaurant,outdoor,20
27,outdoor,restaurant,60
27,restaurant,house,60
28,house,outdoor,5
28,outdoor,workplace,400
28,workplace,restaurant,235
28,restaurant,restaurant,84
28,restaurant,outdoor,10
28,outdoor,restaurant,30
28,restaurant,outdoor,1
28,outdoor,workplace,25
28,workplace,outdoor,15
28,outdoor,outdoor,30
28,outdoor,grocery,5
28,grocery,outdoor,150
28,outdoor,restaurant,60
28,restaurant,outdoor,2
28,outdoor,house,2
29,house,workplace,160
29,workplace,workplace,110
